Timestamp,Created At,machine.status,plc_reason,job.count,alarm1,alarm2,co2_consumption,job.value,rejection.count,rejection.value,concentrate_consumption,co2_flow,connection_status,concentrate_value,reason.code,part2.code,casepacker_selection,operation2.code,operation.code,rejection.code,part.code,rejection2.value,rejection2.code,program2.code,program.code,channelA_value,channelB_value,pack_size,speed,light_red,light_green,light_amber,channelB_count,channelA_count,total_pallets,total_packs,line_stop,alarm5,alarm3,alarm4,alarm6,reason2.code,operator.code,set_machine_speed,mode,Glue_Roller_Temperature,Glue_Bowl_Temperature,Label_Length,beverage_brix,syrup_brix,Beverage_Flow_Rate,beverage_temperature,state,inlet_counter,inlet_counter_value,Inlet_counter_bottles,machine_cycle_status,total_rejection_counter,cooling_ckt_1,cooling_ckt_2,state2,program,power_consumed,Total_energy_consumed,alarm_id,warning_message,rejection6value,rejection3value,rejection4value,rejection5value,rejection7value,rejection8value,rejection9value,rejection1value,rejection2value,VoltageL1,VoltageL2,CurrentL1,VoltageL3,CurrentL2,CurrentL3,vibration,co2_consumption_value,energy_state,total_actual_energy,FirstFault_MessageNumber,FirstFault_SystemNumber,last_notice,drive_id,operating_hours,Warning_MessageNumber,Warning_SystemNumber,bev_meter,bm_meter,bev_meter_kwh,bm_meter_kwh
46:35.4,46:38.6,1,,78.080765,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
47:08.3,47:46.9,1,,79.32832,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
47:41.3,47:52.6,1,,79.17791,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
48:14.3,48:22.6,1,,78.10045,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
48:47.3,48:54.9,1,,79.81795,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
49:20.3,49:26.9,1,,77.134285,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
49:53.3,50:00.6,1,,80.21038,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
50:26.3,50:30.8,1,,78.17502,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
50:59.3,51:12.6,1,,79.30208,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
51:32.3,51:36.6,1,,79.0719,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
52:05.3,52:08.6,1,,78.44924,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
52:38.3,52:42.9,1,,79.6564,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
53:11.3,53:18.9,1,,77.27802,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
53:44.3,53:50.6,1,,80.256645,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
54:17.4,54:22.6,1,,78.36238,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
54:26.2,54:30.6,0,,79.303665,,,,,,,,,,,c,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
54:35.0,54:42.6,1,,80.451,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
54:39.4,54:42.6,0,,80.46793,,,,,,,,,,,e,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
54:50.4,55:02.6,0,,80.584206,,,,,,,,,,,e,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
54:57.0,55:06.6,1,,80.61256,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
55:23.4,55:28.6,1,,77.87801,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
55:56.3,56:04.9,1,,80.128716,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
56:29.3,56:42.9,1,,77.505394,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
57:02.3,57:10.6,1,,80.01904,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
57:35.3,57:38.6,1,,78.62702,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
58:08.3,58:14.8,1,,78.70376,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
58:19.3,59:32.9,0,,78.336945,,,,,,,,,,,e,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
58:34.7,59:34.9,1,,78.327675,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
58:41.3,59:34.9,1,,77.91295,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
59:14.3,59:36.8,1,,80.06512,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
59:47.4,59:52.9,1,,77.82161,,,,,,,,,,,0,,,,10,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2060,14001,,,,
